time,temperature_2m,relative_humidity_2m,wind_speed_10m,shortwave_radiation,temperature_2m_media_movel_24h,relative_humidity_2m_media_movel_24h,wind_speed_10m_media_movel_24h,shortwave_radiation_media_movel_24h,indice_calor_c
2026-06-27 00:00:00,8.5,77,15.9,0.0,8.5,77.0,15.9,0.0,8.499999999999998
2026-06-27 01:00:00,7.9,82,13.4,0.0,8.2,79.5,14.65,0.0,7.8999999999999995
2026-06-27 02:00:00,7.3,84,12.7,0.0,7.8999999999999995,81.0,14.0,0.0,7.300000000000001
2026-06-27 03:00:00,6.6,82,14.2,0.0,7.575,81.25,14.05,0.0,6.599999999999998
2026-06-27 04:00:00,6.7,76,15.0,0.0,7.4,80.2,14.24,0.0,6.700000000000001
2026-06-27 05:00:00,6.6,76,15.3,0.0,7.266666666666667,79.5,14.416666666666666,0.0,6.599999999999998
2026-06-27 06:00:00,6.6,76,16.6,0.0,7.171428571428572,79.0,14.728571428571428,0.0,6.599999999999998
2026-06-27 07:00:00,6.7,76,17.6,0.0,7.1125,78.625,15.0875,0.0,6.700000000000001
2026-06-27 08:00:00,6.9,77,16.8,6.0,7.088888888888889,78.44444444444444,15.277777777777779,0.6666666666666666,6.900000000000001
2026-06-27 09:00:00,8.6,74,15.3,119.0,7.24,78.0,15.280000000000001,12.5,8.599999999999998
2026-06-27 10:00:00,11.5,72,12.7,289.0,7.627272727272728,77.45454545454545,15.045454545454545,37.63636363636363,11.500000000000002
2026-06-27 11:00:00,14.2,65,11.4,432.0,8.174999999999999,76.41666666666667,14.741666666666667,70.5,14.200000000000001
2026-06-27 12:00:00,15.9,59,11.1,527.0,8.76923076923077,75.07692307692308,14.461538461538462,105.61538461538461,15.899999999999999
2026-06-27 13:00:00,16.9,57,10.6,564.0,9.35,73.78571428571429,14.185714285714285,138.35714285714286,16.900000000000002
2026-06-27 14:00:00,17.5,56,10.4,533.0,9.893333333333334,72.6,13.933333333333334,164.66666666666666,17.5
2026-06-27 15:00:00,17.8,55,11.2,442.0,10.3875,71.5,13.7625,182.0,17.800000000000004
2026-06-27 16:00:00,17.2,60,10.0,329.0,10.788235294117648,70.82352941176471,13.541176470588235,190.64705882352942,17.199999999999996
2026-06-27 17:00:00,15.7,68,9.3,150.0,11.06111111111111,70.66666666666667,13.305555555555555,188.38888888888889,15.699999999999998
2026-06-27 18:00:00,15.2,69,12.5,10.0,11.278947368421052,70.57894736842105,13.263157894736842,179.0,15.200000000000001
2026-06-27 19:00:00,14.7,72,10.9,0.0,11.45,70.65,13.145,170.05,14.699999999999996
2026-06-27 20:00:00,14.3,75,9.8,0.0,11.585714285714285,70.85714285714286,12.985714285714286,161.95238095238096,14.300000000000002
2026-06-27 21:00:00,13.5,79,15.8,0.0,11.672727272727274,71.22727272727273,13.113636363636363,154.5909090909091,13.499999999999998
2026-06-27 22:00:00,14.3,77,19.2,0.0,11.786956521739132,71.47826086956522,13.378260869565217,147.8695652173913,14.300000000000002
