,temperature_2m,relative_humidity_2m,wind_speed_10m,shortwave_radiation
temperature_2m,1.0,-0.2586001836355491,0.3856475681551476,0.2771134806337838
relative_humidity_2m,-0.2586001836355491,1.0,-0.42346019447343164,-0.563219340457822
wind_speed_10m,0.3856475681551476,-0.42346019447343164,1.0,0.06264417990712375
shortwave_radiation,0.2771134806337838,-0.563219340457822,0.06264417990712375,1.0
