time,temperature_2m_previsto
2026-07-28 00:00:00,16.410445703679326
2026-07-28 01:00:00,15.995131875459169
2026-07-28 02:00:00,15.696755914375933
2026-07-28 03:00:00,15.536540029266725
2026-07-28 04:00:00,15.526291048111345
2026-07-28 05:00:00,15.667595802217168
2026-07-28 06:00:00,15.951712986287898
2026-07-28 07:00:00,16.360168863933847
2026-07-28 08:00:00,16.866016222277565
2026-07-28 09:00:00,17.43567077997909
2026-07-28 10:00:00,18.03119990050861
2026-07-28 11:00:00,18.612907638639317
2026-07-28 12:00:00,19.142039953513965
2026-07-28 13:00:00,19.58342573248522
2026-07-28 14:00:00,19.907873644319558
2026-07-28 15:00:00,20.094161480179864
2026-07-28 16:00:00,20.130482412086344
2026-07-28 17:00:00,20.015249608731622
2026-07-28 18:00:00,19.757204375411987
2026-07-28 19:00:00,19.37482044851714
2026-07-28 20:00:00,18.895045040924522
2026-07-28 21:00:00,18.351462433974095
2026-07-28 22:00:00,17.782005264195675
2026-07-28 23:00:00,17.22636947681607
