time,Temperatura_C,Umidade_Relativa_%,Velocidade_Vento_kmh,Radiacao_Solar_Wm2,Temperatura_C_MM24h,Umidade_Relativa_%_MM24h,Velocidade_Vento_kmh_MM24h,Radiacao_Solar_Wm2_MM24h,Indice_Calor_C
2026-06-18 00:00:00,10.7,93,15.0,0.0,10.7,93.0,15.0,0.0,10.7
2026-06-18 01:00:00,10.4,93,15.1,0.0,10.55,93.0,15.05,0.0,10.4
2026-06-18 02:00:00,10.0,93,15.1,0.0,10.366666666666667,93.0,15.066666666666668,0.0,10.0
2026-06-18 03:00:00,9.5,94,15.5,0.0,10.15,93.25,15.175,0.0,9.5
2026-06-18 04:00:00,9.5,93,14.8,0.0,10.02,93.2,15.1,0.0,9.5
2026-06-18 05:00:00,9.4,92,15.5,0.0,9.916666666666666,93.0,15.166666666666666,0.0,9.4
2026-06-18 06:00:00,9.3,91,16.9,0.0,9.828571428571427,92.71428571428571,15.414285714285715,0.0,9.3
2026-06-18 07:00:00,9.1,91,16.8,0.0,9.7375,92.5,15.5875,0.0,9.1
2026-06-18 08:00:00,8.9,91,17.5,4.0,9.644444444444444,92.33333333333333,15.799999999999999,0.4444444444444444,8.9
2026-06-18 09:00:00,10.2,84,16.7,81.0,9.7,91.5,15.89,8.5,10.2
2026-06-18 10:00:00,12.0,81,13.5,181.0,9.909090909090908,90.54545454545455,15.672727272727274,24.181818181818183,12.0
2026-06-18 11:00:00,13.6,76,14.2,256.0,10.216666666666667,89.33333333333333,15.549999999999999,43.5,13.6
2026-06-18 12:00:00,15.9,68,15.0,412.0,10.653846153846153,87.6923076923077,15.507692307692308,71.84615384615384,15.9
2026-06-18 13:00:00,17.0,65,14.2,383.0,11.107142857142858,86.07142857142857,15.414285714285715,94.07142857142857,17.0
2026-06-18 14:00:00,17.7,66,13.6,298.0,11.546666666666665,84.73333333333333,15.293333333333333,107.66666666666667,17.7
2026-06-18 15:00:00,18.1,68,13.5,291.0,11.95625,83.6875,15.18125,119.125,18.1
2026-06-18 16:00:00,17.9,68,18.0,209.0,12.305882352941175,82.76470588235294,15.34705882352941,124.41176470588235,17.9
2026-06-18 17:00:00,17.4,69,20.7,112.0,12.588888888888889,82.0,15.644444444444446,123.72222222222223,17.4
2026-06-18 18:00:00,16.7,67,18.9,23.0,12.805263157894737,81.21052631578948,15.81578947368421,118.42105263157895,16.7
2026-06-18 19:00:00,16.4,63,19.0,0.0,12.985,80.3,15.975,112.5,16.4
2026-06-18 20:00:00,16.1,60,16.1,0.0,13.133333333333335,79.33333333333333,15.980952380952383,107.14285714285714,16.1
2026-06-18 21:00:00,16.2,58,20.2,0.0,13.272727272727273,78.36363636363636,16.172727272727272,102.27272727272727,16.2
2026-06-18 22:00:00,15.3,69,13.0,0.0,13.360869565217392,77.95652173913044,16.034782608695654,97.82608695652173,15.3
2026-06-18 23:00:00,13.0,92,15.0,0.0,13.345833333333333,78.54166666666667,15.991666666666667,93.75,13.0
2026-06-19 00:00:00,12.5,94,14.9,0.0,13.420833333333334,78.58333333333333,15.987499999999999,93.75,12.5
2026-06-19 01:00:00,12.4,95,9.8,0.0,13.504166666666665,78.66666666666667,15.766666666666666,93.75,12.4
2026-06-19 02:00:00,12.4,96,13.8,0.0,13.604166666666666,78.79166666666667,15.7125,93.75,12.4
2026-06-19 03:00:00,13.0,94,14.6,0.0,13.75,78.79166666666667,15.674999999999999,93.75,13.0
2026-06-19 04:00:00,12.8,95,15.8,0.0,13.887499999999998,78.875,15.716666666666667,93.75,12.8
2026-06-19 05:00:00,13.0,95,12.3,0.0,14.0375,79.0,15.583333333333334,93.75,13.0
2026-06-19 06:00:00,13.1,96,9.9,0.0,14.195833333333333,79.20833333333333,15.291666666666666,93.75,13.1
2026-06-19 07:00:00,13.1,97,11.3,0.0,14.362500000000002,79.45833333333333,15.0625,93.75,13.1
2026-06-19 08:00:00,13.2,98,9.0,1.0,14.541666666666666,79.75,14.708333333333334,93.625,13.2
2026-06-19 09:00:00,13.2,99,6.8,16.0,14.666666666666666,80.375,14.295833333333334,90.91666666666667,13.2
2026-06-19 10:00:00,14.2,94,15.4,178.0,14.758333333333333,80.91666666666667,14.375,90.79166666666667,14.2
2026-06-19 11:00:00,13.6,87,20.1,169.0,14.758333333333333,81.375,14.620833333333332,87.16666666666667,13.6
2026-06-19 12:00:00,13.8,82,17.1,132.0,14.670833333333334,81.95833333333333,14.708333333333334,75.5,13.8
2026-06-19 13:00:00,14.5,75,18.4,253.0,14.566666666666668,82.375,14.883333333333333,70.08333333333333,14.5
2026-06-19 14:00:00,14.3,74,19.7,195.0,14.424999999999999,82.70833333333333,15.137500000000001,65.79166666666667,14.3
2026-06-19 15:00:00,13.5,75,21.6,188.0,14.233333333333333,83.0,15.475000000000001,61.5,13.5
2026-06-19 16:00:00,13.7,74,20.6,104.0,14.058333333333335,83.25,15.583333333333334,57.125,13.7
2026-06-19 17:00:00,13.5,74,16.2,66.0,13.895833333333334,83.45833333333333,15.395833333333334,55.208333333333336,13.5
2026-06-19 18:00:00,12.8,78,9.5,22.0,13.733333333333333,83.91666666666667,15.004166666666668,55.166666666666664,12.8
2026-06-19 19:00:00,12.3,82,6.0,0.0,13.5625,84.70833333333333,14.4625,55.166666666666664,12.3
2026-06-19 20:00:00,10.9,88,5.5,0.0,13.345833333333333,85.875,14.020833333333334,55.166666666666664,10.9
2026-06-19 21:00:00,9.5,94,5.1,0.0,13.066666666666668,87.375,13.391666666666666,55.166666666666664,9.5
2026-06-19 22:00:00,9.0,96,4.0,0.0,12.804166666666667,88.5,13.016666666666666,55.166666666666664,9.0
2026-06-19 23:00:00,8.4,97,5.6,0.0,12.612499999999999,88.70833333333333,12.625,55.166666666666664,8.4
2026-06-20 00:00:00,7.7,97,4.3,0.0,12.4125,88.83333333333333,12.183333333333335,55.166666666666664,7.7
2026-06-20 01:00:00,7.0,98,4.3,0.0,12.1875,88.95833333333333,11.954166666666666,55.166666666666664,7.0
2026-06-20 02:00:00,6.1,100,3.8,0.0,11.924999999999999,89.125,11.5375,55.166666666666664,6.1
2026-06-20 03:00:00,5.4,100,5.6,0.0,11.608333333333333,89.375,11.162500000000001,55.166666666666664,5.4
2026-06-20 04:00:00,4.6,100,6.2,0.0,11.266666666666667,89.58333333333333,10.762500000000001,55.166666666666664,4.6
2026-06-20 05:00:00,4.1,100,5.2,0.0,10.895833333333334,89.79166666666667,10.466666666666667,55.166666666666664,4.1
2026-06-20 06:00:00,3.8,100,5.1,0.0,10.508333333333333,89.95833333333333,10.266666666666667,55.166666666666664,3.8
2026-06-20 07:00:00,4.0,98,6.0,0.0,10.129166666666666,90.0,10.045833333333334,55.166666666666664,4.0
2026-06-20 08:00:00,4.3,98,7.4,3.0,9.758333333333333,90.0,9.979166666666668,55.25,4.3
2026-06-20 09:00:00,3.9,96,6.9,65.0,9.370833333333334,89.875,9.983333333333333,57.291666666666664,3.9
2026-06-20 10:00:00,5.8,92,7.5,157.0,9.020833333333334,89.79166666666667,9.654166666666667,56.416666666666664,5.8
2026-06-20 11:00:00,7.7,90,8.0,257.0,8.775,89.91666666666667,9.15,60.083333333333336,7.7
2026-06-20 12:00:00,10.1,79,8.1,389.0,8.620833333333334,89.79166666666667,8.775,70.79166666666667,10.1
2026-06-20 13:00:00,11.3,69,7.2,487.0,8.487499999999999,89.54166666666667,8.308333333333334,80.54166666666667,11.3
2026-06-20 14:00:00,11.8,67,7.5,476.0,8.383333333333333,89.25,7.8,92.25,11.8
2026-06-20 15:00:00,12.7,66,5.0,417.0,8.35,88.875,7.108333333333333,101.79166666666667,12.7
2026-06-20 16:00:00,12.6,66,3.8,325.0,8.304166666666667,88.54166666666667,6.408333333333334,111.0,12.6
2026-06-20 17:00:00,12.0,69,6.4,182.0,8.241666666666667,88.33333333333333,6.0,115.83333333333333,12.0
2026-06-20 18:00:00,9.8,81,6.1,36.0,8.116666666666665,88.45833333333333,5.858333333333334,116.41666666666667,9.8
2026-06-20 19:00:00,8.8,84,10.0,0.0,7.970833333333334,88.54166666666667,6.025000000000001,116.41666666666667,8.8
2026-06-20 20:00:00,8.2,83,10.2,0.0,7.858333333333333,88.33333333333333,6.220833333333334,116.41666666666667,8.2
2026-06-20 21:00:00,7.4,85,10.7,0.0,7.770833333333333,87.95833333333333,6.454166666666666,116.41666666666667,7.4
2026-06-20 22:00:00,6.8,88,10.3,0.0,7.679166666666667,87.625,6.716666666666666,116.41666666666667,6.8
